,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.168015193939209,0.00189806149029849,0.011799240112304687,0.0007476665777708992,gini,,,,{'criterion': 'gini'},0.8258426966292135,0.8258426966292135,0.8539325842696629,0.8314606741573034,0.847457627118644,0.8369072557608075,0.01162485557191496,9,0.9985935302390999,0.9985935302390999,0.9985935302390999,1.0,1.0,0.99915611814346,0.0006890266505718941
1,0.20901379585266114,0.027966357527777434,0.01340188980102539,0.002059741025275032,entropy,,,,{'criterion': 'entropy'},0.8202247191011236,0.8202247191011236,0.848314606741573,0.8258426966292135,0.8305084745762712,0.8290230432298611,0.010385629961251376,18,0.9971870604781997,0.9985935302390999,0.9985935302390999,1.0,1.0,0.9988748241912798,0.001052505594029233
2,0.18501391410827636,0.0060334995751953205,0.01180095672607422,0.001939094330999285,,5,,,{'max_depth': 5},0.8033707865168539,0.8370786516853933,0.848314606741573,0.7921348314606742,0.8418079096045198,0.8245413572018029,0.02244487002529118,19,0.8720112517580872,0.8832630098452883,0.8537271448663853,0.8734177215189873,0.8539325842696629,0.8672703424516822,0.011639122775945133
3,0.183015775680542,0.020948263832913414,0.011800813674926757,0.0011670054432233819,,10,,,{'max_depth': 10},0.8033707865168539,0.8314606741573034,0.8539325842696629,0.8314606741573034,0.864406779661017,0.836926299752428,0.02111922860278025,8,0.960618846694796,0.9732770745428974,0.9620253164556962,0.9521800281293952,0.9634831460674157,0.9623168823780401,0.006741070140721984
4,0.18121352195739746,0.012237692009052253,0.010999345779418945,0.001263954357273983,,15,,,{'max_depth': 15},0.8146067415730337,0.8202247191011236,0.848314606741573,0.8089887640449438,0.8700564971751412,0.8324382657271631,0.023169819357386587,13,0.9971870604781997,0.9985935302390999,0.9971870604781997,0.9957805907172996,0.9971910112359551,0.9971878506297509,0.0008895309846702901
5,0.20077080726623536,0.00862439320860471,0.015128469467163086,0.0022936431606195213,,20,,,{'max_depth': 20},0.797752808988764,0.8089887640449438,0.8539325842696629,0.8258426966292135,0.8587570621468926,0.8290547832158953,0.0240578742830323,16,0.9985935302390999,0.9985935302390999,0.9985935302390999,1.0,1.0,0.99915611814346,0.0006890266505718941
6,0.1944178581237793,0.02556959935476184,0.01628718376159668,0.007969187858489468,,25,,,{'max_depth': 25},0.8202247191011236,0.8089887640449438,0.8595505617977528,0.8314606741573034,0.8531073446327684,0.8346664127467782,0.019170131772779528,11,0.9985935302390999,0.9985935302390999,0.9985935302390999,1.0,1.0,0.99915611814346,0.0006890266505718941
7,0.17603793144226074,0.016939258145370294,0.010749387741088866,0.0052339196842519625,,50,,,{'max_depth': 50},0.8146067415730337,0.8258426966292135,0.8539325842696629,0.8314606741573034,0.864406779661017,0.8380498952580462,0.018379119420955173,5,0.9985935302390999,0.9971870604781997,0.9971870604781997,1.0,1.0,0.9985935302390999,0.0012579847974682372
8,0.1711183547973633,0.016666469318623672,0.009000539779663086,0.004647869023153522,,100,,,{'max_depth': 100},0.8258426966292135,0.8258426966292135,0.8651685393258427,0.8258426966292135,0.8418079096045198,0.8369009077636006,0.015427182255249973,10,0.9985935302390999,0.9985935302390999,0.9985935302390999,1.0,1.0,0.99915611814346,0.0006890266505718941
9,0.20421485900878905,0.0225079061317656,0.015401744842529297,0.0014958877299897865,,,2,,{'min_samples_split': 2},0.8258426966292135,0.8202247191011236,0.8707865168539326,0.8314606741573034,0.8531073446327684,0.8402843902748682,0.018887131986551765,3,0.9985935302390999,0.9985935302390999,0.9985935302390999,1.0,1.0,0.99915611814346,0.0006890266505718941
10,0.20061445236206055,0.021341668139166957,0.012400436401367187,0.0025775367613059424,,,3,,{'min_samples_split': 3},0.8089887640449438,0.8089887640449438,0.8539325842696629,0.8258426966292135,0.8531073446327684,0.8301720307243065,0.020033957357378823,14,0.9943741209563994,0.9929676511954993,0.9887482419127989,0.9901547116736991,0.9915730337078652,0.9915635518892524,0.0019890542609174986
11,0.18921370506286622,0.03953121394315138,0.01180109977722168,0.0027130202129295256,,,5,,{'min_samples_split': 5},0.8033707865168539,0.8202247191011236,0.8820224719101124,0.8314606741573034,0.8700564971751412,0.8414270297721069,0.029882370049559875,2,0.9648382559774965,0.9760900140646976,0.9578059071729957,0.9451476793248945,0.9564606741573034,0.9600685061394776,0.010200059884536709
12,0.18561553955078125,0.024962053354020013,0.011200618743896485,0.001470236328526195,,,10,,{'min_samples_split': 10},0.8314606741573034,0.8314606741573034,0.8651685393258427,0.8146067415730337,0.847457627118644,0.8380308512664254,0.01709000635223241,6,0.9212376933895922,0.9282700421940928,0.9170182841068917,0.9085794655414908,0.9157303370786517,0.9181671644621439,0.006491198821815887
13,0.1735853672027588,0.013919262420363206,0.01054987907409668,0.0055719172273120616,,,15,,{'min_samples_split': 15},0.8146067415730337,0.8202247191011236,0.8539325842696629,0.8033707865168539,0.8531073446327684,0.8290484352186885,0.020706588905559316,17,0.9057665260196905,0.9113924050632911,0.90014064697609,0.8888888888888888,0.898876404494382,0.9010129742884685,0.007518619148114418
14,0.15634660720825194,0.018880617630087915,0.009619855880737304,0.007369894886297842,,,,20,{'max_leaf_nodes': 20},0.8089887640449438,0.8202247191011236,0.8707865168539326,0.797752808988764,0.8531073446327684,0.8301720307243065,0.027474536725227074,14,0.8832630098452883,0.8917018284106891,0.8663853727144867,0.8677918424753868,0.8707865168539326,0.8759857140599566,0.009861977705446254
15,0.16130857467651366,0.01180022363081503,0.009378147125244141,0.007657225073591925,,,,40,{'max_leaf_nodes': 40},0.8033707865168539,0.8314606741573034,0.8707865168539326,0.8146067415730337,0.8700564971751412,0.8380562432552529,0.027898919802757,4,0.9212376933895922,0.9338959212376934,0.9156118143459916,0.9071729957805907,0.9101123595505618,0.9176061568608859,0.009460758228953484
16,0.1687976360321045,0.01822584639315503,0.012504482269287109,0.006252241164646122,,,,60,{'max_leaf_nodes': 60},0.8258426966292135,0.8258426966292135,0.8707865168539326,0.8258426966292135,0.8418079096045198,0.8380245032692185,0.017509157242234126,7,0.9324894514767933,0.9451476793248945,0.9324894514767933,0.9268635724331927,0.9311797752808989,0.9336339859985145,0.006116317562859261
17,0.19553489685058595,0.02762500811827619,0.012881040573120117,0.0023327048108828913,,,,80,{'max_leaf_nodes': 80},0.8202247191011236,0.8202247191011236,0.8707865168539326,0.8033707865168539,0.8531073446327684,0.8335428172411605,0.024637202791985887,12,0.9535864978902954,0.960618846694796,0.9479606188466948,0.9451476793248945,0.9438202247191011,0.9502267734951564,0.00618481131642782
18,0.17814760208129882,0.020360172187428003,0.008890771865844726,0.011661327569405477,,,,100,{'max_leaf_nodes': 100},0.8146067415730337,0.8258426966292135,0.8764044943820225,0.8314606741573034,0.864406779661017,0.8425442772805181,0.02369294522996355,1,0.9732770745428974,0.9760900140646976,0.960618846694796,0.9634317862165963,0.9620786516853933,0.9670992746408761,0.0063190454909607275
