,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.19000568389892578,0.021523314817410752,0.012504863739013671,0.00625243264136746,gini,10,40,3,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 40, 'min_samples_split': 3}",0.7865168539325843,0.8258426966292135,0.8764044943820225,0.8089887640449438,0.847457627118644,0.8290420872214816,0.030993860871484008,70,0.9184247538677919,0.9212376933895922,0.9085794655414908,0.9015471167369902,0.898876404494382,0.9097330868060494,0.008878170394448642
1,0.17928013801574708,0.021376704778892117,0.00880117416381836,0.004534643503978576,gini,10,40,5,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 40, 'min_samples_split': 5}",0.8258426966292135,0.8370786516853933,0.8764044943820225,0.8202247191011236,0.847457627118644,0.8414016377832795,0.019855002998796376,17,0.9170182841068917,0.9226441631504922,0.9127988748241913,0.8917018284106891,0.8974719101123596,0.9083270121209248,0.011787676203474581
2,0.1635570526123047,0.010152129291405857,0.01568145751953125,0.002483028541211992,gini,10,40,7,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 40, 'min_samples_split': 7}",0.8314606741573034,0.8314606741573034,0.8595505617977528,0.8146067415730337,0.8587570621468926,0.8391671427664571,0.017442713873517545,25,0.9085794655414908,0.9212376933895922,0.9085794655414908,0.8987341772151899,0.8960674157303371,0.9066396434836201,0.00888703861675226
3,0.20937752723693848,0.01755145770765049,0.011798667907714843,0.006046017047355062,gini,10,60,3,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 60, 'min_samples_split': 3}",0.8146067415730337,0.8089887640449438,0.848314606741573,0.8089887640449438,0.8587570621468926,0.8279311877102774,0.021264477419798686,71,0.9324894514767933,0.9409282700421941,0.9324894514767933,0.9240506329113924,0.9199438202247191,0.9299803252263784,0.0073258666159018325
4,0.18705739974975585,0.016456303971506308,0.0075263500213623045,0.006405046726225788,gini,10,60,5,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 60, 'min_samples_split': 5}",0.797752808988764,0.8258426966292135,0.8651685393258427,0.8202247191011236,0.8531073446327684,0.8324192217355424,0.024059230999124225,60,0.9212376933895922,0.9381153305203939,0.9268635724331927,0.9085794655414908,0.9171348314606742,0.9223861786690687,0.009868883079746975
5,0.17664294242858886,0.012720936320702382,0.01200108528137207,0.0016735416757373142,gini,10,60,7,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 60, 'min_samples_split': 7}",0.8258426966292135,0.8202247191011236,0.8651685393258427,0.8202247191011236,0.8418079096045198,0.8346537167523647,0.017183497281440044,54,0.9324894514767933,0.9353023909985936,0.9184247538677919,0.9127988748241913,0.9143258426966292,0.9226682627728,0.00939239162960705
6,0.19683523178100587,0.01846401489983606,0.013802337646484374,0.002398654879999791,gini,10,80,3,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 80, 'min_samples_split': 3}",0.8314606741573034,0.8370786516853933,0.8876404494382022,0.8146067415730337,0.8531073446327684,0.8447787722973402,0.024712359328921338,5,0.9479606188466948,0.9563994374120957,0.9437412095639943,0.9338959212376934,0.9339887640449438,0.9431971902210844,0.008585968291953244
7,0.1880730628967285,0.011991873152198807,0.010242557525634766,0.004081369332071854,gini,10,80,5,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 80, 'min_samples_split': 5}",0.8202247191011236,0.8146067415730337,0.8707865168539326,0.8202247191011236,0.8587570621468926,0.836919951755221,0.023147978560672078,36,0.9353023909985936,0.9367088607594937,0.9353023909985936,0.9184247538677919,0.9297752808988764,0.9311027355046697,0.006770468329791054
8,0.19510154724121093,0.02249537849341374,0.011174535751342774,0.0022955465449449814,gini,10,80,7,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 80, 'min_samples_split': 7}",0.8089887640449438,0.8258426966292135,0.8764044943820225,0.8202247191011236,0.864406779661017,0.8391734907636641,0.026346727485080632,24,0.9324894514767933,0.939521800281294,0.9268635724331927,0.9184247538677919,0.9185393258426966,0.9271677807803538,0.008147702421595893
9,0.1929194450378418,0.015137160127676045,0.015202188491821289,0.0029940202617354124,gini,10,100,3,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 100, 'min_samples_split': 3}",0.8202247191011236,0.8146067415730337,0.8707865168539326,0.8258426966292135,0.8587570621468926,0.8380435472608392,0.022435717107673038,29,0.960618846694796,0.960618846694796,0.9493670886075949,0.9479606188466948,0.9466292134831461,0.9530389228654057,0.006249262410989534
10,0.16713714599609375,0.015754453252886342,0.012651634216308594,0.002538392248824793,gini,10,100,5,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 100, 'min_samples_split': 5}",0.797752808988764,0.8258426966292135,0.8651685393258427,0.8314606741573034,0.8587570621468926,0.8357963562496034,0.024310919855890782,40,0.9381153305203939,0.9535864978902954,0.9409282700421941,0.9310829817158931,0.9283707865168539,0.938416773337126,0.008845624649815342
